Item #,Part Name,Quantity,Material,Mass (g),Volume,SIZE,,
,,,,,,L,W,H
134,Fuel Channel_C-134,1,Stainless Steel AISI 405,960.3 ,120.0 ,10.0 ,8.3 ,8.3 
135,Fuel Channel_C-135,1,Stainless Steel AISI 405,2762.3 ,345.3 ,10.0 ,9.8 ,8.3 
136,Fuel Channel_C-136,1,Stainless Steel AISI 405,1100.6 ,137.6 ,10.0 ,8.4 ,8.4 
137,Fuel Channel_C-137,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
138,Fuel Channel_C-138,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
139,Fuel Channel_C-139,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
140,Fuel Channel_C-140,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
141,Fuel Channel_C-141,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
142,Fuel Channel_C-142,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
143,Fuel Channel_C-143,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
144,Fuel Channel_C-144,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
145,Fuel Channel_C-145,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
146,Fuel Channel_C-146,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
147,Fuel Channel_C-147,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
148,Fuel Channel_C-148,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
149,Fuel Channel_C-149,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
150,Fuel Channel_C-150,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
151,Fuel Channel_C-151,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
152,Fuel Channel_C-152,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
153,Fuel Channel_C-153,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
154,Fuel Channel_C-154,1,Stainless Steel AISI 405,1335.3 ,166.9 ,10.0 ,8.6 ,8.6 
155,Fuel Channel_C-155,1,Stainless Steel AISI 405,2299.8 ,287.5 ,10.0 ,10.0 ,10.0 
156,Fuel Channel_C-156,1,Stainless Steel AISI 405,1105.6 ,138.2 ,10.0 ,9.0 ,9.0 
157,Fuel Channel_C-157,1,Stainless Steel AISI 405,960.3 ,120.0 ,10.0 ,8.3 ,8.3 
158,Fuel Channel_C-158,1,Stainless Steel AISI 405,960.3 ,120.0 ,10.0 ,8.3 ,8.3 
159,Fuel Channel_C-159,1,Stainless Steel AISI 405,1404.9 ,175.6 ,10.0 ,8.8 ,8.8 
160,Fuel Channel_C-160,1,Stainless Steel AISI 405,1325.5 ,165.7 ,10.0 ,8.6 ,8.6 
161,Fuel Channel_C-161,1,Stainless Steel AISI 405,1159.8 ,145.0 ,10.0 ,8.6 ,8.6 
162,Fuel Channel_C-162,1,Stainless Steel AISI 405,2311.8 ,289.0 ,10.0 ,8.4 ,8.4 
163,Fuel Channel_C-163,1,Stainless Steel AISI 405,1519.3 ,189.9 ,10.0 ,8.4 ,8.4 
164,Fuel Channel_C-164,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
165,Fuel Channel_C-165,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
166,Fuel Channel_C-166,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
167,Fuel Channel_C-167,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
168,Fuel Channel_C-168,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
169,Fuel Channel_C-169,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
170,Fuel Channel_C-170,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
171,Fuel Channel_C-171,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
172,Fuel Channel_C-172,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
173,Fuel Channel_C-173,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
174,Fuel Channel_C-174,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
175,Fuel Channel_C-175,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
176,Fuel Channel_C-176,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
177,Fuel Channel_C-177,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
178,Fuel Channel_C-178,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
179,Fuel Channel_C-179,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
180,Fuel Channel_C-180,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
181,Fuel Channel_C-181,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
182,Fuel Channel_C-182,1,Stainless Steel AISI 405,1325.5 ,165.7 ,10.0 ,8.6 ,8.6 
183,Fuel Channel_C-183,1,Stainless Steel AISI 405,1450.7 ,181.3 ,10.0 ,9.8 ,9.8 
184,Fuel Channel_C-184,1,Stainless Steel AISI 405,2759.6 ,345.0 ,10.0 ,9.8 ,8.3 
185,Fuel Channel_C-185,1,Stainless Steel AISI 405,962.1 ,120.3 ,10.0 ,8.4 ,8.3 
186,Fuel Channel_C-186,1,Stainless Steel AISI 405,960.3 ,120.0 ,10.0 ,8.3 ,8.3 
187,Fuel Channel_C-187,1,Stainless Steel AISI 405,1897.8 ,237.2 ,10.0 ,10.0 ,10.0 
188,Fuel Channel_C-188,1,Stainless Steel AISI 405,1779.7 ,222.5 ,10.0 ,10.0 ,10.0 
189,Fuel Channel_C-189,1,Stainless Steel AISI 405,1345.2 ,168.1 ,10.0 ,8.6 ,8.6 
190,Fuel Channel_C-190,1,Stainless Steel AISI 405,1325.5 ,165.7 ,10.0 ,8.6 ,8.6 
191,Fuel Channel_C-191,1,Stainless Steel AISI 405,1383.8 ,173.0 ,10.0 ,8.4 ,8.4 
192,Fuel Channel_C-192,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
193,Fuel Channel_C-193,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
194,Fuel Channel_C-194,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
195,Fuel Channel_C-195,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
196,Fuel Channel_C-196,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
197,Fuel Channel_C-197,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
198,Fuel Channel_C-198,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
199,Fuel Channel_C-199,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
200,Fuel Channel_C-200,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
201,Fuel Channel_C-201,1,Stainless Steel AISI 405,1114.4 ,139.3 ,10.0 ,8.6 ,8.6 
202,Fuel Channel_C-202,1,Stainless Steel AISI 405,1325.2 ,165.6 ,10.0 ,8.6 ,8.6 
203,Fuel Channel_C-203,1,Stainless Steel AISI 405,1416.2 ,177.0 ,10.0 ,8.8 ,8.8 
204,Fuel Channel_C-204,1,Stainless Steel AISI 405,1867.3 ,233.4 ,10.0 ,8.8 ,8.8 
205,Fuel Channel_C-205,1,Stainless Steel AISI 405,2049.5 ,256.2 ,10.0 ,8.8 ,8.8 
